"Player","Season","Team","Position","GP","TOI","GA","SA","FA","xGA","Sv%","FSv%","xFSv%","dFSv%","GSAA","GSAx"
"Aaron Dell","16-17","S.J","G",20,1110.55,36.83,529.11,751.2,46.19,93.04,95.1,93.85,1.25,8.91,9.36
"Aaron Dell","17-18","S.J","G",29,1522.08,66.42,763.42,1064.21,67.52,91.3,93.76,93.66,0.1,0.54,1.1
"Aaron Dell","18-19","S.J","G",25,1323.28,68.73,613.65,857.04,61.18,88.8,91.98,92.86,-0.88,-13.41,-7.55
"Adin Hill","17-18","ARI","G",4,240.75,14.13,133.5,187.57,13.54,89.42,92.47,92.78,-0.31,-2.42,-0.59
"Adin Hill","18-19","ARI","G",13,696.35,32,320.92,469.67,31.05,90.03,93.19,93.39,-0.2,-3.07,-0.95
"Al Montoya","14-15","FLA","G",20,976.93,48.66,456,658.27,41.28,89.33,92.61,93.73,-1.12,-9.78,-7.38
"Al Montoya","15-16","FLA","G",25,1351.23,48.07,600.76,854.62,52.93,92,94.38,93.81,0.57,3.12,4.86
"Al Montoya","16-17","MTL","G",19,1124.88,48.28,566.16,765.31,47.06,91.47,93.69,93.85,-0.16,0.67,-1.22
"Al Montoya","17-18","EDM","G",9,469.22,22.98,247.05,333.35,21.59,90.7,93.11,93.52,-0.42,-1.31,-1.39
"Al Montoya","17-18","MTL","G",4,222.52,13.23,98.1,140.97,9.84,86.51,90.62,93.02,-2.4,-4.62,-3.39
"Alex Lyon","17-18","PHI","G",11,479.8,21.55,234.04,332.88,20.99,90.79,93.53,93.69,-0.17,-1.02,-0.56
"Alex Stalock","14-15","S.J","G",22,1236.5,54.26,556.45,767.85,51.19,90.25,92.93,93.33,-0.4,-6.81,-3.07
"Alex Stalock","15-16","S.J","G",13,674.13,33.22,290.59,384.93,24.23,88.57,91.37,93.71,-2.34,-8.46,-8.99
"Alex Stalock","16-17","MIN","G",2,118.92,2.99,53.89,76.18,4.45,94.45,96.08,94.16,1.92,1.66,1.46
"Alex Stalock","17-18","MIN","G",28,1495.27,69.16,784.45,1127.65,61.78,91.18,93.87,94.52,-0.65,-0.36,-7.38
"Alex Stalock","18-19","MIN","G",21,1065.1,53.77,547.06,784.01,44.61,90.17,93.14,94.31,-1.17,-4.46,-9.16
"Alexandar Georgiev","17-18","NYR","G",10,514.77,27.46,337.69,444.9,28.73,91.87,93.83,93.54,0.29,2.16,1.27
"Alexandar Georgiev","18-19","NYR","G",33,1874.17,90.28,1060.07,1471.99,99.51,91.48,93.87,93.24,0.63,5.28,9.23
"Anders Lindback","14-15","BUF","G",16,890.98,40.56,546.78,749.55,38.46,92.58,94.59,94.87,-0.28,6.07,-2.1
