"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Ducks","ANA","14-15",82,4103.65,52.68,50.88,51.58,51.21,51.78,2.47,2.22,28.93,27.93,42.29,39.7,55.97,53.33,2.36,2.2,0.25,1,2.59,2.65,0.16,8.56,92.04
"Coyotes","ARI","14-15",82,4093.7,37.31,46.41,46.72,47.24,44.83,1.59,2.66,27.71,32,39.25,44.75,53.53,59.78,1.98,2.44,-1.08,-4.29,-5.5,-6.25,-0.46,5.72,91.68
"Bruins","BOS","14-15",82,4189,51.38,51.26,51.27,52.3,52.04,2.16,2.05,30.04,28.57,41.39,39.34,56.34,51.38,2.16,1.99,0.12,1.48,2.05,4.96,0.17,7.21,92.83
"Sabres","BUF","14-15",82,4122.1,38.33,38.95,37.8,36.35,39.08,1.62,2.61,22.74,35.65,30.33,49.9,39.14,68.53,1.69,2.63,-0.99,-12.9,-19.57,-29.4,-0.94,7.14,92.67
"Hurricanes","CAR","14-15",82,4187.52,42.7,51.8,51.23,51.16,49.68,1.82,2.44,29.5,27.45,41.39,39.41,55.31,52.79,2.32,2.35,-0.62,2.05,1.98,2.52,-0.03,6.17,91.1
"Blue Jackets","CBJ","14-15",82,4001.68,46.97,46.54,46.59,46.76,47.28,2.25,2.54,27.98,32.14,37.84,43.39,49.67,56.55,2.11,2.35,-0.29,-4.16,-5.55,-6.88,-0.24,8.03,92.11
"Flames","CGY","14-15",82,4158.72,49.96,46.07,45.51,44.1,46.44,2.34,2.35,25.38,29.71,35.69,42.74,49.63,62.91,2.04,2.35,0,-4.33,-7.05,-13.27,-0.31,9.24,92.09
"Blackhawks","CHI","14-15",82,4130.05,53.98,52.75,53.06,54.04,51.26,2.25,1.92,33.15,29.69,44.16,39.07,60.79,51.71,2.4,2.28,0.33,3.45,5.09,9.08,0.12,6.78,93.55
"Avalanche","COL","14-15",82,4105.88,48.03,45.18,43.81,43.06,42.55,2.25,2.44,26.74,32.45,35.42,45.44,47.38,62.66,1.88,2.54,-0.19,-5.71,-10.02,-15.28,-0.66,8.43,92.48
"Stars","DAL","14-15",82,3990.08,50.21,51.56,52.46,52.36,52.55,2.72,2.7,31.03,29.15,45.48,41.22,61.77,56.2,2.65,2.39,0.02,1.88,4.27,5.58,0.26,8.77,90.74
"Red Wings","DET","14-15",82,3998.65,51.83,51.6,52.32,53.7,51.86,2.12,1.97,28.25,26.5,39,35.53,52.87,45.59,2.15,2,0.15,1.76,3.46,7.28,0.15,7.49,92.57
"Oilers","EDM","14-15",82,4189.4,39.47,47.18,46.81,47.15,43.96,1.91,2.93,26.93,30.15,37.75,42.9,51.74,58,2.05,2.61,-1.02,-3.22,-5.15,-6.26,-0.56,7.1,90.27
"Panthers","FLA","14-15",82,4136.52,49.61,51.45,50.82,51.06,51.8,2.09,2.13,29.91,28.22,40.54,39.23,53.27,51.05,2.15,2,-0.03,1.68,1.32,2.22,0.15,7,92.47
"Kings","L.A","14-15",82,4103.23,54.26,54.65,54.8,55.71,53.93,2.29,1.93,30.9,25.64,44.38,36.6,59.75,47.51,2.38,2.03,0.36,5.26,7.78,12.24,0.35,7.42,92.47
"Wild","MIN","14-15",82,4073.65,52.43,52.26,52.08,51.06,54.49,2.51,2.28,29.85,27.27,41.35,38.05,54.95,52.67,2.27,1.9,0.23,2.58,3.3,2.28,0.37,8.42,91.64
"Canadiens","MTL","14-15",82,4105.27,54.34,48.82,48.91,48.49,48.98,2.24,1.88,27.97,29.32,38.75,40.49,53.96,57.33,2.18,2.28,0.36,-1.35,-1.73,-3.37,-0.09,7.99,93.59
"Devils","N.J","14-15",82,4096.72,47.23,45.61,46.36,46.92,47.53,1.73,1.93,24.38,29.07,33.68,38.97,44.95,50.85,1.96,2.16,-0.2,-4.69,-5.3,-5.9,-0.2,7.1,93.34
"Predators","NSH","14-15",82,4091.28,57.16,53.25,53.24,53.02,54.3,2.54,1.9,31.49,27.65,43.64,38.33,59.02,52.3,2.3,1.94,0.64,3.84,5.31,6.72,0.36,8.05,93.12
"Islanders","NYI","14-15",82,4156.58,52.13,54.26,54.35,53.26,54.95,2.52,2.31,32.74,27.6,45.43,38.16,61.81,54.24,2.96,2.43,0.21,5.14,7.27,7.57,0.53,7.69,91.63
"Rangers","NYR","14-15",82,4130.02,57.53,51.44,50.29,50.49,51.09,2.71,2,30.8,29.08,41.57,41.1,55.57,54.5,2.52,2.41,0.71,1.73,0.47,1.07,0.11,8.81,93.11
"Senators","OTT","14-15",82,4056.6,50.87,48.34,48.95,50.53,51.13,2.35,2.27,29.45,31.47,40.47,42.2,55.85,54.67,2.33,2.22,0.08,-2.02,-1.73,1.18,0.1,7.98,92.79
